frame,nose_x,nose_y,nose_likelihood,neck_x,neck_y,neck_likelihood,withers_x,withers_y,withers_likelihood,frontleg_x,frontleg_y,frontleg_likelihood,backleg_x,backleg_y,backleg_likelihood
51,523,221,0.95,563,240,0.96,625,248,0.94,651,339,0.92,735,341,0.91
52,525,223,0.95,565,242,0.96,627,250,0.94,653,344,0.92,737,338,0.91
53,526,226,0.95,566,244,0.96,628,251,0.94,654,348,0.92,738,336,0.91
54,527,228,0.95,567,245,0.96,629,252,0.94,655,352,0.92,739,334,0.91
55,528,229,0.95,568,246,0.96,630,253,0.94,656,355,0.92,740,333,0.91
56,528,229,0.95,568,246,0.96,630,253,0.94,656,355,0.92,740,333,0.91
57,529,230,0.95,569,247,0.96,631,254,0.94,657,356,0.92,741,334,0.91
58,529,231,0.95,569,248,0.96,631,254,0.94,657,356,0.92,741,336,0.91
59,529,231,0.95,569,248,0.96,631,254,0.94,657,355,0.92,741,339,0.91
60,530,232,0.95,570,249,0.96,632,255,0.94,658,354,0.92,742,344,0.91
61,529,232,0.95,569,248,0.96,631,256,0.94,657,351,0.92,741,349,0.91
62,529,231,0.95,569,249,0.96,631,256,0.94,657,349,0.92,741,353,0.91
63,529,232,0.95,569,249,0.96,631,256,0.94,657,346,0.92,741,358,0.91
64,528,231,0.95,568,249,0.96,630,257,0.94,656,344,0.92,740,362,0.91
65,528,231,0.95,568,249,0.96,630,257,0.94,656,341,0.92,740,367,0.91
66,527,230,0.95,567,248,0.96,629,257,0.94,655,338,0.92,739,370,0.91
67,526,230,0.95,566,249,0.96,628,258,0.94,654,337,0.92,738,373,0.91
68,525,231,0.95,565,250,0.96,627,259,0.94,653,337,0.92,737,375,0.91
69,523,232,0.95,563,251,0.96,625,260,0.94,651,338,0.92,735,376,0.91
70,522,232,0.95,562,251,0.96,624,260,0.94,650,338,0.92,734,376,0.91
71,520,233,0.95,560,253,0.96,622,262,0.94,648,341,0.92,732,375,0.91
72,519,234,0.95,559,254,0.96,621,263,0.94,647,344,0.92,731,372,0.91
73,517,236,0.95,557,255,0.96,619,264,0.94,645,347,0.92,729,369,0.91
74,515,237,0.95,555,256,0.96,617,264,0.94,643,351,0.92,727,365,0.91
75,513,239,0.95,553,257,0.96,615,266,0.94,641,355,0.92,725,363,0.91
76,510,239,0.95,550,258,0.96,612,266,0.94,638,357,0.92,722,359,0.91
77,508,240,0.95,548,259,0.96,610,267,0.94,636,361,0.92,720,355,0.91
78,506,242,0.95,546,260,0.96,608,267,0.94,634,364,0.92,718,352,0.91
79,503,243,0.95,543,260,0.96,605,267,0.94,631,367,0.92,715,349,0.91
80,500,242,0.95,540,259,0.96,602,266,0.94,628,368,0.92,712,346,0.91
81,497,242,0.95,537,259,0.96,599,266,0.94,625,368,0.92,709,346,0.91
82,494,241,0.95,534,258,0.96,596,265,0.94,622,367,0.92,706,345,0.91
83,491,240,0.95,531,257,0.96,593,263,0.94,619,365,0.92,703,345,0.91
84,487,238,0.95,527,255,0.96,589,261,0.94,615,362,0.92,699,346,0.91
85,484,237,0.95,524,254,0.96,586,260,0.94,612,359,0.92,696,349,0.91
86,480,235,0.95,520,251,0.96,582,259,0.94,608,354,0.92,692,352,0.91
87,477,232,0.95,517,250,0.96,579,257,0.94,605,350,0.92,689,354,0.91
88,473,231,0.95,513,248,0.96,575,255,0.94,601,345,0.92,685,357,0.91
89,469,228,0.95,509,246,0.96,571,254,0.94,597,341,0.92,681,359,0.91
90,465,226,0.95,505,244,0.96,567,252,0.94,593,336,0.92,677,362,0.91
91,461,223,0.95,501,241,0.96,563,250,0.94,589,331,0.92,673,363,0.91
92,457,221,0.95,497,240,0.96,559,249,0.94,585,328,0.92,669,364,0.91
93,452,220,0.95,492,239,0.96,554,248,0.94,580,326,0.92,664,364,0.91
94,448,219,0.95,488,238,0.96,550,247,0.94,576,325,0.92,660,363,0.91
95,443,219,0.95,483,238,0.96,545,247,0.94,571,325,0.92,655,363,0.91
96,439,218,0.95,479,238,0.96,541,247,0.94,567,326,0.92,651,360,0.91
97,434,218,0.95,474,238,0.96,536,247,0.94,562,328,0.92,646,356,0.91
98,429,219,0.95,469,238,0.96,531,247,0.94,557,330,0.92,641,352,0.91
99,424,219,0.95,464,238,0.96,526,246,0.94,552,333,0.92,636,347,0.91
100,420,220,0.95,460,238,0.96,522,247,0.94,548,336,0.92,632,344,0.91
101,414,220,0.95,454,239,0.96,516,247,0.94,542,338,0.92,626,340,0.91
102,409,221,0.95,449,240,0.96,511,248,0.94,537,342,0.92,621,336,0.91
103,404,223,0.95,444,241,0.96,506,248,0.94,532,345,0.92,616,333,0.91
104,399,224,0.95,439,241,0.96,501,248,0.94,527,348,0.92,611,330,0.91
105,394,224,0.95,434,241,0.96,496,248,0.94,522,350,0.92,606,328,0.91
106,388,224,0.95,428,241,0.96,490,248,0.94,516,350,0.92,600,328,0.91
107,383,224,0.95,423,241,0.96,485,248,0.94,511,350,0.92,595,328,0.91
108,377,224,0.95,417,241,0.96,479,247,0.94,505,349,0.92,589,329,0.91
109,372,223,0.95,412,240,0.96,474,246,0.94,500,347,0.92,584,331,0.91
110,366,223,0.95,406,240,0.96,468,246,0.94,494,345,0.92,578,335,0.91
111,361,222,0.95,401,238,0.96,463,246,0.94,489,341,0.92,573,339,0.91
112,355,221,0.95,395,239,0.96,457,246,0.94,483,339,0.92,567,343,0.91
113,350,222,0.95,390,239,0.96,452,246,0.94,478,336,0.92,562,348,0.91
114,344,221,0.95,384,239,0.96,446,247,0.94,472,334,0.92,556,352,0.91
115,338,221,0.95,378,239,0.96,440,247,0.94,466,331,0.92,550,357,0.91
116,332,220,0.95,372,238,0.96,434,247,0.94,460,328,0.92,544,360,0.91
117,327,220,0.95,367,239,0.96,429,248,0.94,455,327,0.92,539,363,0.91
118,321,221,0.95,361,240,0.96,423,249,0.94,449,327,0.92,533,365,0.91
119,315,222,0.95,355,241,0.96,417,250,0.94,443,328,0.92,527,366,0.91
120,310,224,0.95,350,243,0.96,412,252,0.94,438,330,0.92,522,368,0.91
121,304,225,0.95,344,245,0.96,406,254,0.94,432,333,0.92,516,367,0.91
122,298,227,0.95,338,247,0.96,400,256,0.94,426,337,0.92,510,365,0.91
123,292,230,0.95,332,249,0.96,394,258,0.94,420,341,0.92,504,363,0.91
124,287,232,0.95,327,251,0.96,389,259,0.94,415,346,0.92,499,360,0.91
125,281,234,0.95,321,252,0.96,383,261,0.94,409,350,0.92,493,358,0.91
126,275,235,0.95,315,254,0.96,377,262,0.94,403,353,0.92,487,355,0.91
127,269,237,0.95,309,256,0.96,371,264,0.94,397,358,0.92,481,352,0.91
128,264,240,0.95,304,258,0.96,366,265,0.94,392,362,0.92,476,350,0.91
129,258,242,0.95,298,259,0.96,360,266,0.94,386,366,0.92,470,348,0.91
130,253,242,0.95,293,259,0.96,355,266,0.94,381,368,0.92,465,346,0.91
131,247,243,0.95,287,260,0.96,349,267,0.94,375,369,0.92,459,347,0.91
132,242,243,0.95,282,260,0.96,344,267,0.94,370,369,0.92,454,347,0.91
133,236,243,0.95,276,260,0.96,338,266,0.94,364,368,0.92,448,348,0.91
134,231,242,0.95,271,259,0.96,333,265,0.94,359,366,0.92,443,350,0.91
135,225,242,0.95,265,259,0.96,327,265,0.94,353,364,0.92,437,354,0.91
136,220,240,0.95,260,256,0.96,322,264,0.94,348,359,0.92,432,357,0.91
137,215,238,0.95,255,256,0.96,317,263,0.94,343,356,0.92,427,360,0.91
138,210,238,0.95,250,255,0.96,312,262,0.94,338,352,0.92,422,364,0.91
139,205,236,0.95,245,254,0.96,307,262,0.94,333,349,0.92,417,367,0.91
140,200,234,0.95,240,252,0.96,302,260,0.94,328,344,0.92,412,370,0.91
141,195,233,0.95,235,251,0.96,297,260,0.94,323,341,0.92,407,373,0.91
142,190,231,0.95,230,250,0.96,292,259,0.94,318,338,0.92,402,374,0.91
143,185,230,0.95,225,249,0.96,287,258,0.94,313,336,0.92,397,374,0.91
144,180,229,0.95,220,248,0.96,282,257,0.94,308,335,0.92,392,373,0.91
145,176,229,0.95,216,248,0.96,278,257,0.94,304,335,0.92,388,373,0.91
146,171,228,0.95,211,248,0.96,273,257,0.94,299,336,0.92,383,370,0.91
147,167,228,0.95,207,248,0.96,269,257,0.94,295,338,0.92,379,366,0.91
148,162,229,0.95,202,248,0.96,264,257,0.94,290,340,0.92,374,362,0.91
149,158,229,0.95,198,248,0.96,260,256,0.94,286,343,0.92,370,357,0.91
150,154,229,0.95,194,247,0.96,256,256,0.94,282,345,0.92,366,353,0.91
151,150,228,0.95,190,247,0.96,252,255,0.94,278,346,0.92,362,348,0.91
152,146,228,0.95,186,247,0.96,248,255,0.94,274,349,0.92,358,343,0.91
153,142,229,0.95,182,247,0.96,244,254,0.94,270,351,0.92,354,339,0.91
154,139,229,0.95,179,246,0.96,241,253,0.94,267,353,0.92,351,335,0.91
155,135,229,0.95,175,246,0.96,237,253,0.94,263,355,0.92,347,333,0.91
156,132,228,0.95,172,245,0.96,234,252,0.94,260,354,0.92,344,332,0.91
157,128,227,0.95,168,244,0.96,230,251,0.94,256,353,0.92,340,331,0.91
158,125,226,0.95,165,243,0.96,227,249,0.94,253,351,0.92,337,331,0.91
159,122,224,0.95,162,241,0.96,224,247,0.94,250,348,0.92,334,332,0.91
160,119,223,0.95,159,240,0.96,221,246,0.94,247,345,0.92,331,335,0.91
161,116,221,0.95,156,237,0.96,218,245,0.94,244,340,0.92,328,338,0.91
162,113,219,0.95,153,237,0.96,215,244,0.94,241,337,0.92,325,341,0.91
163,111,219,0.95,151,236,0.96,213,243,0.94,239,333,0.92,323,345,0.91
164,109,217,0.95,149,235,0.96,211,243,0.94,237,330,0.92,321,348,0.91
165,106,216,0.95,146,234,0.96,208,242,0.94,234,326,0.92,318,352,0.91
166,104,215,0.95,144,233,0.96,206,242,0.94,232,323,0.92,316,355,0.91
167,102,214,0.95,142,233,0.96,204,242,0.94,230,321,0.92,314,357,0.91
168,100,214,0.95,140,233,0.96,202,242,0.94,228,320,0.92,312,358,0.91
169,99,214,0.95,139,233,0.96,201,242,0.94,227,320,0.92,311,358,0.91
170,97,215,0.95,137,234,0.96,199,243,0.94,225,321,0.92,309,359,0.91
171,96,215,0.95,136,235,0.96,198,244,0.94,224,323,0.92,308,357,0.91
172,94,217,0.95,134,237,0.96,196,246,0.94,222,327,0.92,306,355,0.91
173,93,220,0.95,133,239,0.96,195,248,0.94,221,331,0.92,305,353,0.91
174,92,222,0.95,132,241,0.96,194,249,0.94,220,336,0.92,304,350,0.91
175,91,224,0.95,131,242,0.96,193,251,0.94,219,340,0.92,303,348,0.91
176,91,225,0.95,131,244,0.96,193,252,0.94,219,343,0.92,303,345,0.91
177,90,227,0.95,130,246,0.96,192,254,0.94,218,348,0.92,302,342,0.91
178,90,230,0.95,130,248,0.96,192,255,0.94,218,352,0.92,302,340,0.91
179,90,232,0.95,130,249,0.96,192,256,0.94,218,356,0.92,302,338,0.91
180,90,234,0.95,130,251,0.96,192,258,0.94,218,360,0.92,302,338,0.91
181,90,235,0.95,130,252,0.96,192,259,0.94,218,361,0.92,302,339,0.91
182,90,236,0.95,130,253,0.96,192,260,0.94,218,362,0.92,302,340,0.91
183,90,237,0.95,130,254,0.96,192,260,0.94,218,362,0.92,302,342,0.91
184,91,237,0.95,131,254,0.96,193,260,0.94,219,361,0.92,303,345,0.91
185,91,237,0.95,131,254,0.96,193,260,0.94,219,359,0.92,303,349,0.91
186,92,236,0.95,132,252,0.96,194,260,0.94,220,355,0.92,304,353,0.91
187,93,235,0.95,133,253,0.96,195,260,0.94,221,353,0.92,305,357,0.91
188,94,236,0.95,134,253,0.96,196,260,0.94,222,350,0.92,306,362,0.91
189,96,235,0.95,136,253,0.96,198,261,0.94,224,348,0.92,308,366,0.91
190,97,234,0.95,137,252,0.96,199,260,0.94,225,344,0.92,309,370,0.91
191,99,234,0.95,139,252,0.96,201,261,0.94,227,342,0.92,311,374,0.91
192,100,233,0.95,140,252,0.96,202,261,0.94,228,340,0.92,312,376,0.91
193,102,233,0.95,142,252,0.96,204,261,0.94,230,339,0.92,314,377,0.91
194,104,233,0.95,144,252,0.96,206,261,0.94,232,339,0.92,316,377,0.91
195,106,234,0.95,146,253,0.96,208,262,0.94,234,340,0.92,318,378,0.91
196,109,233,0.95,149,253,0.96,211,262,0.94,237,341,0.92,321,375,0.91
197,111,234,0.95,151,254,0.96,213,263,0.94,239,344,0.92,323,372,0.91
198,113,236,0.95,153,255,0.96,215,264,0.94,241,347,0.92,325,369,0.91
199,116,237,0.95,156,256,0.96,218,264,0.94,244,351,0.92,328,365,0.91
200,119,237,0.95,159,255,0.96,221,264,0.94,247,353,0.92,331,361,0.91
201,122,238,0.95,162,257,0.96,224,265,0.94,250,356,0.92,334,358,0.91
202,125,238,0.95,165,257,0.96,227,265,0.94,253,359,0.92,337,353,0.91
203,128,239,0.95,168,257,0.96,230,264,0.94,256,361,0.92,340,349,0.91
204,132,239,0.95,172,256,0.96,234,263,0.94,260,363,0.92,344,345,0.91
205,135,239,0.95,175,256,0.96,237,263,0.94,263,365,0.92,347,343,0.91
206,139,238,0.95,179,255,0.96,241,262,0.94,267,364,0.92,351,342,0.91
207,142,237,0.95,182,254,0.96,244,261,0.94,270,363,0.92,354,341,0.91
208,146,236,0.95,186,253,0.96,248,259,0.94,274,361,0.92,358,341,0.91
209,150,234,0.95,190,251,0.96,252,257,0.94,278,358,0.92,362,342,0.91
210,154,232,0.95,194,249,0.96,256,255,0.94,282,354,0.92,366,344,0.91
211,158,229,0.95,198,245,0.96,260,253,0.94,286,348,0.92,370,346,0.91
212,162,226,0.95,202,244,0.96,264,251,0.94,290,344,0.92,374,348,0.91
213,167,225,0.95,207,242,0.96,269,249,0.94,295,339,0.92,379,351,0.91
214,171,222,0.95,211,240,0.96,273,248,0.94,299,335,0.92,383,353,0.91
215,176,221,0.95,216,239,0.96,278,247,0.94,304,331,0.92,388,357,0.91
216,180,219,0.95,220,237,0.96,282,246,0.94,308,327,0.92,392,359,0.91
217,185,217,0.95,225,236,0.96,287,245,0.94,313,324,0.92,397,360,0.91
218,190,216,0.95,230,235,0.96,292,244,0.94,318,322,0.92,402,360,0.91
219,195,215,0.95,235,234,0.96,297,243,0.94,323,321,0.92,407,359,0.91
220,199,215,0.95,239,234,0.96,301,243,0.94,327,321,0.92,411,359,0.91
221,205,214,0.95,245,234,0.96,307,243,0.94,333,322,0.92,417,356,0.91
222,210,215,0.95,250,235,0.96,312,244,0.94,338,325,0.92,422,353,0.91
223,215,217,0.95,255,236,0.96,317,245,0.94,343,328,0.92,427,350,0.91
224,220,218,0.95,260,237,0.96,322,245,0.94,348,332,0.92,432,346,0.91
225,225,219,0.95,265,237,0.96,327,246,0.94,353,335,0.92,437,343,0.91
226,231,220,0.95,271,239,0.96,333,247,0.94,359,338,0.92,443,340,0.91
227,236,221,0.95,276,240,0.96,338,248,0.94,364,342,0.92,448,336,0.91
228,242,223,0.95,282,241,0.96,344,248,0.94,370,345,0.92,454,333,0.91
229,247,224,0.95,287,241,0.96,349,248,0.94,375,348,0.92,459,330,0.91
230,253,225,0.95,293,242,0.96,355,249,0.94,381,351,0.92,465,329,0.91
231,258,225,0.95,298,242,0.96,360,249,0.94,386,351,0.92,470,329,0.91
232,264,226,0.95,304,243,0.96,366,250,0.94,392,352,0.92,476,330,0.91
233,269,227,0.95,309,244,0.96,371,250,0.94,397,352,0.92,481,332,0.91
234,275,227,0.95,315,244,0.96,377,250,0.94,403,351,0.92,487,335,0.91
235,281,227,0.95,321,244,0.96,383,250,0.94,409,349,0.92,493,339,0.91
236,287,226,0.95,327,242,0.96,389,250,0.94,415,345,0.92,499,343,0.91
237,292,225,0.95,332,243,0.96,394,250,0.94,420,343,0.92,504,347,0.91
238,298,226,0.95,338,243,0.96,400,250,0.94,426,340,0.92,510,352,0.91
239,304,225,0.95,344,243,0.96,406,251,0.94,432,338,0.92,516,356,0.91
240,309,226,0.95,349,244,0.96,411,252,0.94,437,336,0.92,521,362,0.91
241,315,226,0.95,355,244,0.96,417,253,0.94,443,334,0.92,527,366,0.91
242,321,226,0.95,361,245,0.96,423,254,0.94,449,333,0.92,533,369,0.91
243,327,227,0.95,367,246,0.96,429,255,0.94,455,333,0.92,539,371,0.91
244,332,228,0.95,372,247,0.96,434,256,0.94,460,334,0.92,544,372,0.91
245,338,229,0.95,378,248,0.96,440,257,0.94,466,335,0.92,550,373,0.91
246,344,229,0.95,384,249,0.96,446,258,0.94,472,337,0.92,556,371,0.91
247,350,231,0.95,390,251,0.96,452,260,0.94,478,341,0.92,562,369,0.91
248,355,234,0.95,395,253,0.96,457,262,0.94,483,345,0.92,567,367,0.91
249,361,236,0.95,401,255,0.96,463,263,0.94,489,350,0.92,573,364,0.91
250,366,237,0.95,406,255,0.96,468,264,0.94,494,353,0.92,578,361,0.91
251,372,239,0.95,412,258,0.96,474,266,0.94,500,357,0.92,584,359,0.91
252,377,240,0.95,417,259,0.96,479,267,0.94,505,361,0.92,589,355,0.91
253,383,242,0.95,423,260,0.96,485,267,0.94,511,364,0.92,595,352,0.91
254,388,243,0.95,428,260,0.96,490,267,0.94,516,367,0.92,600,349,0.91
255,394,244,0.95,434,261,0.96,496,268,0.94,522,370,0.92,606,348,0.91
256,399,243,0.95,439,260,0.96,501,267,0.94,527,369,0.92,611,347,0.91
257,404,243,0.95,444,260,0.96,506,267,0.94,532,369,0.92,616,347,0.91
258,409,243,0.95,449,260,0.96,511,266,0.94,537,368,0.92,621,348,0.91
259,414,242,0.95,454,259,0.96,516,265,0.94,542,366,0.92,626,350,0.91
260,419,240,0.95,459,257,0.96,521,263,0.94,547,362,0.92,631,352,0.91
261,424,239,0.95,464,255,0.96,526,263,0.94,552,358,0.92,636,356,0.91
262,429,236,0.95,469,254,0.96,531,261,0.94,557,354,0.92,641,358,0.91
263,434,235,0.95,474,252,0.96,536,259,0.94,562,349,0.92,646,361,0.91
264,439,232,0.95,479,250,0.96,541,258,0.94,567,345,0.92,651,363,0.91
265,443,231,0.95,483,249,0.96,545,257,0.94,571,341,0.92,655,367,0.91
266,448,229,0.95,488,247,0.96,550,256,0.94,576,337,0.92,660,369,0.91
267,452,227,0.95,492,246,0.96,554,255,0.94,580,334,0.92,664,370,0.91
268,457,226,0.95,497,245,0.96,559,254,0.94,585,332,0.92,669,370,0.91
269,461,225,0.95,501,244,0.96,563,253,0.94,589,331,0.92,673,369,0.91
270,465,224,0.95,505,243,0.96,567,252,0.94,593,330,0.92,677,368,0.91
271,469,222,0.95,509,242,0.96,571,251,0.94,597,330,0.92,681,364,0.91
272,473,222,0.95,513,242,0.96,575,251,0.94,601,332,0.92,685,360,0.91
273,477,223,0.95,517,242,0.96,579,251,0.94,605,334,0.92,689,356,0.91
274,480,223,0.95,520,242,0.96,582,250,0.94,608,337,0.92,692,351,0.91
275,484,224,0.95,524,242,0.96,586,251,0.94,612,340,0.92,696,348,0.91
276,487,224,0.95,527,243,0.96,589,251,0.94,615,342,0.92,699,344,0.91
277,491,224,0.95,531,243,0.96,593,251,0.94,619,345,0.92,703,339,0.91
278,494,225,0.95,534,243,0.96,596,250,0.94,622,347,0.92,706,335,0.91
279,497,225,0.95,537,242,0.96,599,249,0.94,625,349,0.92,709,331,0.91
280,500,225,0.95,540,242,0.96,602,249,0.94,628,351,0.92,712,329,0.91
281,503,224,0.95,543,241,0.96,605,248,0.94,631,350,0.92,715,328,0.91
282,506,224,0.95,546,241,0.96,608,248,0.94,634,350,0.92,718,328,0.91
283,508,224,0.95,548,241,0.96,610,247,0.94,636,349,0.92,720,329,0.91
284,510,223,0.95,550,240,0.96,612,246,0.94,638,347,0.92,722,331,0.91
285,513,222,0.95,553,239,0.96,615,245,0.94,641,344,0.92,725,334,0.91
286,515,221,0.95,555,237,0.96,617,245,0.94,643,340,0.92,727,338,0.91
287,517,219,0.95,557,237,0.96,619,244,0.94,645,337,0.92,729,341,0.91
288,519,219,0.95,559,236,0.96,621,243,0.94,647,333,0.92,731,345,0.91
289,520,217,0.95,560,235,0.96,622,243,0.94,648,330,0.92,732,348,0.91
290,522,217,0.95,562,235,0.96,624,243,0.94,650,327,0.92,734,353,0.91
291,523,216,0.95,563,234,0.96,625,243,0.94,651,324,0.92,735,356,0.91
292,525,216,0.95,565,235,0.96,627,244,0.94,653,323,0.92,737,359,0.91
293,526,217,0.95,566,236,0.96,628,245,0.94,654,323,0.92,738,361,0.91
294,527,218,0.95,567,237,0.96,629,246,0.94,655,324,0.92,739,362,0.91
295,528,219,0.95,568,238,0.96,630,247,0.94,656,325,0.92,740,363,0.91
296,528,219,0.95,568,239,0.96,630,248,0.94,656,327,0.92,740,361,0.91
297,529,221,0.95,569,241,0.96,631,250,0.94,657,331,0.92,741,359,0.91
298,529,224,0.95,569,243,0.96,631,252,0.94,657,335,0.92,741,357,0.91
299,529,226,0.95,569,245,0.96,631,253,0.94,657,340,0.92,741,354,0.91
300,530,229,0.95,570,247,0.96,632,256,0.94,658,345,0.92,742,353,0.91
301,529,231,0.95,569,250,0.96,631,258,0.94,657,349,0.92,741,351,0.91
302,529,233,0.95,569,252,0.96,631,260,0.94,657,354,0.92,741,348,0.91
303,529,236,0.95,569,254,0.96,631,261,0.94,657,358,0.92,741,346,0.91
304,528,238,0.95,568,255,0.96,630,262,0.94,656,362,0.92,740,344,0.91
305,528,239,0.95,568,256,0.96,630,263,0.94,656,365,0.92,740,343,0.91
306,527,239,0.95,567,256,0.96,629,263,0.94,655,365,0.92,739,343,0.91
307,526,240,0.95,566,257,0.96,628,264,0.94,654,366,0.92,738,344,0.91
308,525,241,0.95,565,258,0.96,627,264,0.94,653,366,0.92,737,346,0.91
309,523,241,0.95,563,258,0.96,625,264,0.94,651,365,0.92,735,349,0.91
310,522,240,0.95,562,257,0.96,624,263,0.94,650,362,0.92,734,352,0.91
311,520,240,0.95,560,256,0.96,622,264,0.94,648,359,0.92,732,357,0.91
312,519,238,0.95,559,256,0.96,621,263,0.94,647,356,0.92,731,360,0.91
313,517,238,0.95,557,255,0.96,619,262,0.94,645,352,0.92,729,364,0.91
314,515,236,0.95,555,254,0.96,617,262,0.94,643,349,0.92,727,367,0.91
315,513,236,0.95,553,254,0.96,615,262,0.94,641,346,0.92,725,372,0.91
316,510,234,0.95,550,252,0.96,612,261,0.94,638,342,0.92,722,374,0.91
317,508,233,0.95,548,252,0.96,610,261,0.94,636,340,0.92,720,376,0.91
318,506,233,0.95,546,252,0.96,608,261,0.94,634,339,0.92,718,377,0.91
319,503,233,0.95,543,252,0.96,605,261,0.94,631,339,0.92,715,377,0.91
320,500,232,0.95,540,251,0.96,602,260,0.94,628,338,0.92,712,376,0.91
321,497,232,0.95,537,252,0.96,599,261,0.94,625,340,0.92,709,374,0.91
322,494,232,0.95,534,252,0.96,596,261,0.94,622,342,0.92,706,370,0.91
323,491,233,0.95,531,252,0.96,593,261,0.94,619,344,0.92,703,366,0.91
324,487,233,0.95,527,252,0.96,589,260,0.94,615,347,0.92,699,361,0.91
325,484,234,0.95,524,252,0.96,586,261,0.94,612,350,0.92,696,358,0.91
326,480,234,0.95,520,253,0.96,582,261,0.94,608,352,0.92,692,354,0.91
327,477,234,0.95,517,253,0.96,579,261,0.94,605,355,0.92,689,349,0.91
